"SAN.MC,20/08/2013 17:36:00,"5,53"
"SAN.MC,21/08/2013 17:36:00,"5,494"
"SAN.MC,22/08/2013 17:36:00,"5,605"
"SAN.MC,23/08/2013 17:36:00,"5,665"
"SAN.MC,26/08/2013 17:36:00,"5,62"
"SAN.MC,27/08/2013 17:36:00,"5,413"
"SAN.MC,28/08/2013 17:36:00,"5,425"
"SAN.MC,29/08/2013 17:36:00,"5,43"
"SAN.MC,30/08/2013 17:36:00,"5,34"
"SAN.MC,2/09/2013 17:36:00,"5,447"
"SAN.MC,3/09/2013 17:36:00,"5,42"
"SAN.MC,4/09/2013 17:36:00,"5,449"
"SAN.MC,5/09/2013 17:36:00,"5,481"
"SAN.MC,6/09/2013 17:36:00,"5,562"
"SAN.MC,9/09/2013 17:36:00,"5,541"
"SAN.MC,10/09/2013 17:36:00,"5,68"
"SAN.MC,11/09/2013 17:36:00,"5,735"
"SAN.MC,12/09/2013 17:36:00,"5,765"
"SAN.MC,13/09/2013 17:36:00,"5,766"
"SAN.MC,16/09/2013 17:36:00,"5,79"
"SAN.MC,17/09/2013 17:36:00,"5,785"
"SAN.MC,18/09/2013 17:36:00,"5,879"
"SAN.MC,19/09/2013 17:36:00,"5,947"
"SAN.MC,20/09/2013 17:36:00,"5,962"
"SAN.MC,23/09/2013 17:36:00,"5,902"
"SAN.MC,24/09/2013 17:36:00,"5,967"
"SAN.MC,25/09/2013 17:36:00,"6,051"
"SAN.MC,26/09/2013 17:36:00,"6,08"
"SAN.MC,27/09/2013 17:36:00,"6,082"
"SAN.MC,30/09/2013 17:36:00,"6,028"
"SAN.MC,1/10/2013 17:36:00,"6,164"
"SAN.MC,2/10/2013 17:36:00,"6,181"
"SAN.MC,3/10/2013 17:36:00,"6,136"
"SAN.MC,4/10/2013 17:36:00,"6,328"
"SAN.MC,7/10/2013 17:36:00,"6,33"
"SAN.MC,8/10/2013 17:36:00,"6,263"
"SAN.MC,9/10/2013 17:36:00,"6,348"
"SAN.MC,10/10/2013 17:36:00,"6,565"
"SAN.MC,11/10/2013 17:36:00,"6,524"
"SAN.MC,14/10/2013 17:36:00,"6,597"
"SAN.MC,15/10/2013 17:36:00,"6,714"
"SAN.MC,16/10/2013 17:36:00,"6,697"
"SAN.MC,17/10/2013 17:36:00,"6,72"
"SAN.MC,18/10/2013 17:36:00,"6,774"
"SAN.MC,21/10/2013 17:36:00,"6,747"
"SAN.MC,22/10/2013 17:36:00,"6,7"
"SAN.MC,23/10/2013 17:36:00,"6,54"
"SAN.MC,24/10/2013 17:36:00,"6,613"
"SAN.MC,25/10/2013 17:36:00,"6,53"
"SAN.MC,28/10/2013 17:36:00,"6,347"
"SAN.MC,29/10/2013 17:36:00,"6,49"
"SAN.MC,30/10/2013 17:36:00,"6,425"
"SAN.MC,31/10/2013 17:36:00,"6,539"
"SAN.MC,1/11/2013 17:36:00,"6,484"
"SAN.MC,4/11/2013 17:36:00,"6,506"
"SAN.MC,5/11/2013 17:36:00,"6,43"
"SAN.MC,6/11/2013 17:36:00,"6,502"
"SAN.MC,7/11/2013 17:36:00,"6,462"
"SAN.MC,8/11/2013 17:36:00,"6,409"
"SAN.MC,11/11/2013 17:36:00,"6,458"
"SAN.MC,12/11/2013 17:36:00,"6,405"
"SAN.MC,13/11/2013 17:36:00,"6,392"
"SAN.MC,14/11/2013 17:36:00,"6,387"
"SAN.MC,15/11/2013 17:36:00,"6,388"
"SAN.MC,18/11/2013 17:36:00,"6,483"
"SAN.MC,19/11/2013 17:36:00,"6,352"
"SAN.MC,20/11/2013 17:36:00,"6,34"
"SAN.MC,21/11/2013 17:36:00,"6,377"
"SAN.MC,22/11/2013 17:36:00,"6,428"
"SAN.MC,25/11/2013 17:36:00,"6,44"
"SAN.MC,26/11/2013 17:36:00,"6,42"
