"MAP.MC,25/11/2013 17:36:00,"2,934"
"MAP.MC,26/11/2013 17:36:00,"2,884"
"MAP.MC,27/11/2013 17:36:00,"2,93"
"MAP.MC,28/11/2013 17:36:00,"2,952"
"MAP.MC,29/11/2013 17:36:00,"2,923"
"MAP.MC,2/12/2013 17:36:00,"2,939"
"MAP.MC,3/12/2013 17:36:00,"2,881"
"MAP.MC,4/12/2013 17:36:00,"2,836"
"MAP.MC,5/12/2013 17:36:00,"2,821"
"MAP.MC,6/12/2013 17:36:00,"2,837"
"MAP.MC,9/12/2013 17:36:00,"2,83"
"MAP.MC,10/12/2013 17:36:00,"2,826"
"MAP.MC,11/12/2013 17:36:00,"2,822"
"MAP.MC,12/12/2013 17:36:00,"2,79"
"MAP.MC,13/12/2013 17:36:00,"2,821"
"MAP.MC,16/12/2013 17:36:00,"2,897"
"MAP.MC,17/12/2013 17:36:00,"2,877"
"MAP.MC,18/12/2013 17:36:00,"2,87"
"MAP.MC,19/12/2013 17:36:00,"2,979"
"MAP.MC,20/12/2013 17:36:00,"3,006"
"MAP.MC,23/12/2013 17:36:00,"3,066"
"MAP.MC,24/12/2013 17:36:00,"3,108"
"MAP.MC,27/12/2013 17:36:00,"3,136"
"MAP.MC,30/12/2013 17:36:00,"3,132"
"MAP.MC,31/12/2013 17:36:00,"3,113"
"MAP.MC,2/01/2014 17:36:00,"3,026"
"MAP.MC,3/01/2014 17:36:00,"3,064"
"MAP.MC,6/01/2014 17:36:00,"3,082"
"MAP.MC,7/01/2014 17:36:00,"3,24"
"MAP.MC,8/01/2014 17:36:00,"3,374"
"MAP.MC,9/01/2014 17:36:00,"3,408"
"MAP.MC,10/01/2014 17:36:00,"3,409"
