"REP.MC,27/01/2014 17:36:00,"17,525"
"REP.MC,28/01/2014 17:36:00,"17,65"
"REP.MC,29/01/2014 17:36:00,"17,625"
"REP.MC,30/01/2014 17:36:00,"17,615"
"REP.MC,31/01/2014 17:36:00,"17,38"
"REP.MC,3/02/2014 17:36:00,"17,13"
"REP.MC,4/02/2014 17:36:00,"17,105"
"REP.MC,5/02/2014 17:36:00,"17,145"
"REP.MC,6/02/2014 17:36:00,"17,425"
"REP.MC,7/02/2014 17:36:00,"17,665"
"REP.MC,10/02/2014 17:36:00,"17,57"
